time	ke_at_point[J/kg]
0.164	359.86
0.1645	366.05
0.165	371.729
0.1655	372.282
0.166	372.402
0.1665	366.723
0.167	363.562
0.1675	359.571
0.168	357.753
0.1685	355.587
0.169	354.687
0.1695	351.944
0.17	349.833
0.1705	350.52
0.171	351.974
0.1715	352.407
0.172	355.697
0.1725	360.399
0.173	366.017
0.1735	370.631
0.174	376.569
0.1745	378.111
0.175	377.245
0.1755	374.953
0.176	368.814
0.1765	366.095
0.177	362.066
0.1775	360.612
0.178	362.607
0.1785	366.657
0.179	368.368
0.1795	370.896
0.18	368.859
0.1805	366.303
0.181	361.027
0.1815	356.196
0.182	353.05
0.1825	351.122
0.183	352.598
0.1835	355.076
0.184	358.669
0.1845	361.181
0.185	360.824
0.1855	359.073
0.186	355.949
0.1865	355.306
0.187	355.467
0.1875	357.638
0.188	359.575
0.1885	360.561
0.189	360.573
0.1895	359.17
0.19	358.343
0.1905	356.975
0.191	356.93
0.1915	356.897
0.192	356.913
0.1925	357.636
0.193	358.03
0.1935	358.059
0.194	356.731
0.1945	359.209
0.195	357.514
0.1955	361.355
0.196	363.696
0.1965	364.374
0.197	365.166
0.1975	364.25
0.198	365.137
0.1985	364.883
0.199	366.28
0.1995	368.021
0.2	369.608
0.2005	371.348
0.201	372.001
0.2015	372.304
0.202	372.769
0.2025	372.041
0.203	371.037
0.2035	369.456
0.204	368.223
0.2045	366.52
0.205	365.594
0.2055	364.899
0.206	365.193
0.2065	366.027
0.207	365.039
0.2075	365.035
0.208	362.016
0.2085	359.841
0.209	357.888
0.2095	356.077
0.21	354
0.2105	352.823
0.211	351.851
0.2115	351.719
0.212	351.219
0.2125	351.955
0.213	352.51
0.2135	354.855
0.214	354.16
0.2145	356.449
0.215	356.94
0.2155	359.135
0.216	363.909
0.2165	366.911
0.217	367.272
0.2175	363.72
0.218	358.795
0.2185	354.565
0.219	351.605
0.2195	350.323
0.22	351.33
0.2205	351.56
0.221	352.752
0.2215	357.282
0.222	360.31
0.2225	367.904
0.223	371.485
0.2235	374.907
0.224	375.608
0.2245	375.995
0.225	374.465
0.2255	374.099
0.226	371.698
0.2265	371.685
0.227	367.352
0.2275	369.699
0.228	367.934
0.2285	370.297
0.229	371.442
0.2295	372.252
0.23	371.72
0.2305	372.152
0.231	370.145
0.2315	370.598
0.232	368.183
0.2325	367.167
0.233	365.366
0.2335	362.989
0.234	360.681
0.2345	358.009
0.235	356.684
0.2355	354.848
0.236	354.374
0.2365	355.279
0.237	356.565
0.2375	359.065
0.238	359.969
0.2385	363.717
0.239	364.488
0.2395	366.382
0.24	366.691
0.2405	365.36
0.241	366.438
0.2415	365.082
0.242	365.022
0.2425	365.419
0.243	365.199
0.2435	363.887
0.244	360.03
0.2445	357.499
